,162WL%,AGE,BB/9,BK,BR/9,CG,ER,ERA,G,GF,GS,H,H/9,HB,HR,HR/9,IBB,IP,L,LABEL,NAME,PID,R,RAA,RAR,SO,SO/9,SO/BB,SV,ShO,TBB,W,WAA,WAAadj,WAR,WLP,WP,waaWL%
0,0,0,0,0.0,0,0.0,55.0,2.84,186.0,70.0,0.0,148.0,0,3.0,16.0,0,8.0,174.0,8.0,0,,,63.0,0,0,216.0,0,0,29.0,29.0,73.0,12.0,0,0,0.75,0,15.0,0
0,0,0,0,2.0,0,60.0,316.0,2.93,180.0,31.0,127.0,893.0,0,35.0,26.0,0,,970.1,66.0,0,,,411.0,0,0,457.0,0,0,3.0,3.0,373.0,50.0,0,0,1.2333333333333332,0,23.0,0
0,0,0,0,0.0,0,0.0,4.0,18.0,1.0,1.0,0.0,2.0,0,1.0,0.0,0,,2.0,0.0,0,,,4.0,0,0,2.0,0,0,0.0,0.0,2.0,0.0,0,0,-0.2,0,0.0,0
0,0,0,0,5.0,0,109.0,813.0,3.75,352.0,68.0,241.0,1849.0,0,38.0,103.0,0,,1950.1,75.0,1,,,924.0,0,0,1070.0,0,0,16.0,16.0,738.0,142.0,0,0,2.092307692307692,0,68.0,0
0,0,0,0,2.0,0,0.0,155.0,4.7,159.0,75.0,19.0,291.0,0,11.0,19.0,0,18.0,297.1,25.0,0,,,183.0,0,0,194.0,0,0,22.0,22.0,196.0,8.0,0,0,-0.07142857142857136,0,27.0,0
0,0,0,0,3.0,0,7.0,426.0,3.88,434.0,222.0,59.0,985.0,0,9.0,73.0,0,68.0,988.1,70.0,0,,,464.0,0,0,611.0,0,0,75.0,75.0,417.0,58.0,0,0,0.6090909090909089,0,39.0,0
0,0,0,0,0.0,0,0.0,9.0,7.36,11.0,4.0,0.0,16.0,0,0.0,0.0,0,1.0,11.0,1.0,0,,,9.0,0,0,4.0,0,0,0.0,0.0,5.0,1.0,0,0,-0.4,0,0.0,0
0,0,0,0,1.0,0,17.0,87.0,3.18,45.0,13.0,27.0,247.0,0,11.0,4.0,0,,246.2,21.0,0,,,135.0,0,0,57.0,0,0,1.0,1.0,67.0,9.0,0,0,0.4666666666666666,0,9.0,0
0,0,0,0,4.0,0,0.0,115.0,4.83,254.0,49.0,0.0,189.0,0,6.0,34.0,0,13.0,214.2,13.0,0,,,123.0,0,0,232.0,0,0,2.0,2.0,136.0,14.0,0,0,-0.057142857142857155,0,8.0,0
0,0,0,0,0.0,0,0.0,128.0,4.82,210.0,63.0,1.0,252.0,0,13.0,35.0,0,12.0,239.0,13.0,0,,,134.0,0,0,170.0,0,0,0.0,0.0,82.0,13.0,0,0,0.2,0,10.0,0
0,0,0,0,0.0,0,0.0,14.0,11.35,12.0,3.0,0.0,21.0,0,0.0,3.0,0,1.0,11.1,0.0,0,,,15.0,0,0,7.0,0,0,0.0,0.0,5.0,0.0,0,0,-0.6,0,1.0,0
0,0,0,0,0.0,0,0.0,36.0,6.33,50.0,15.0,0.0,63.0,0,2.0,6.0,0,5.0,51.2,4.0,0,,,36.0,0,0,40.0,0,0,0.0,0.0,30.0,1.0,0,0,-0.04999999999999999,0,8.0,0
0,0,0,0,2.0,0,1.0,90.0,3.45,116.0,55.0,1.0,212.0,0,4.0,21.0,0,,235.1,3.0,0,,,98.0,0,0,115.0,0,0,15.0,15.0,111.0,18.0,0,0,1.1500000000000001,0,5.0,0
0,0,0,0,0.0,0,0.0,6.0,9.0,6.0,4.0,0.0,9.0,0,1.0,1.0,0,0.0,6.0,0.0,0,,,6.0,0,0,5.0,0,0,0.0,0.0,3.0,1.0,0,0,-0.1,0,1.0,0
0,0,0,0,1.0,0,0.0,41.0,4.05,65.0,27.0,0.0,87.0,0,3.0,13.0,0,6.0,91.2,4.0,0,,,43.0,0,0,57.0,0,0,2.0,2.0,30.0,7.0,0,0,0.13333333333333333,0,4.0,0
0,0,0,0,0.0,0,0.0,23.0,9.0,14.0,7.0,1.0,40.0,0,1.0,2.0,0,,23.0,1.0,0,,,27.0,0,0,4.0,0,0,0.0,0.0,9.0,0.0,0,0,-1.0,0,0.0,0
0,0,0,0,1.0,0,128.0,449.0,2.67,218.0,45.0,161.0,1455.0,0,22.0,16.0,0,,1514.0,75.0,0,,,600.0,0,0,425.0,0,0,7.0,7.0,272.0,83.0,0,0,,0,31.0,0
0,0,0,0,0.0,0,0.0,13.0,11.58,4.0,1.0,1.0,19.0,0,0.0,5.0,0,0.0,10.1,1.0,0,,,13.0,0,0,5.0,0,0,0.0,0.0,7.0,0.0,0,0,-0.13333333333333333,0,0.0,0
0,0,0,0,0.0,0,0.0,2.0,16.36,4.0,0.0,0.0,4.0,0,0.0,1.0,0,0.0,1.1,0.0,0,,,2.0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,-0.2,0,0.0,0
0,0,0,0,3.0,0,5.0,228.0,3.72,90.0,0.0,90.0,581.0,0,22.0,54.0,0,6.0,552.2,32.0,0,,,249.0,0,0,292.0,0,0,0.0,0.0,123.0,27.0,0,0,1.6599999999999997,0,15.0,0
0,0,0,0,2.0,0,0.0,54.0,3.0,98.0,38.0,0.0,140.0,0,7.0,12.0,0,15.0,162.1,9.0,0,,,56.0,0,0,134.0,0,0,5.0,5.0,79.0,8.0,0,0,0.8,0,7.0,0
0,0,0,0,1.0,0,0.0,30.0,5.72,23.0,2.0,6.0,48.0,0,5.0,9.0,0,1.0,47.2,5.0,0,,,31.0,0,0,39.0,0,0,0.0,0.0,18.0,1.0,0,0,-0.03333333333333333,0,1.0,0
0,0,0,0,1.0,0,0.0,35.0,5.24,80.0,19.0,0.0,58.0,0,4.0,12.0,0,2.0,60.1,5.0,0,,,36.0,0,0,42.0,0,0,0.0,0.0,40.0,0.0,0,0,0.125,0,2.0,0
0,0,0,0,0.0,0,0.0,9.0,5.79,16.0,7.0,0.0,11.0,0,1.0,2.0,0,2.0,14.0,0.0,0,,,10.0,0,0,21.0,0,0,0.0,0.0,10.0,0.0,0,0,-0.04999999999999999,0,3.0,0
0,0,0,0,0.0,0,0.0,35.0,5.42,19.0,3.0,13.0,65.0,0,4.0,2.0,0,1.0,58.1,6.0,0,,,40.0,0,0,26.0,0,0,0.0,0.0,26.0,3.0,0,0,-0.09999999999999998,0,1.0,0
