PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
k21,"Kaline, Al",20,R,1955,DET,RF,152,681,588,121,200,24,8,27,102,223,82,12,57,6,8,0.429,0.34,0.421,0.546,0.967,0,6,5,321,13,162,135.1074626866,132.6241791045,90573.0091629956,60,6.2,80,8.2,0.54,0.538,7.1,0.4,70
k21,"Kaline, Al",21,R,1956,DET,RF,153,693,617,96,194,32,10,27,128,224,70,4,55,7,1,0.875,0.314,0.383,0.53,0.913,1,4,1,327,10,139,125.6593886463,126.6572780204,87482.689004329,46,4.6,66,6.5,0.53,0.528,5.3,0.5,55
k21,"Kaline, Al",22,R,1957,DET,RF,149,636,577,83,170,29,4,23,90,173,43,7,38,11,9,0.55,0.295,0.343,0.478,0.821,6,7,3,276,10,120,94.8193548387,92.8035483871,56369.5996226415,34,3.5,53,5.5,0.525,0.523,3.4,1.4,34
k21,"Kaline, Al",23,R,1958,DET,RF,146,607,543,84,170,34,7,16,85,169,54,6,47,7,4,0.636,0.313,0.374,0.49,0.864,3,5,2,266,18,130,99.8056951424,99.4422110553,56916.0128500824,43,4.6,62,6.5,0.532,0.529,3.6,2.2,35
k21,"Kaline, Al",24,R,1959,DET,CF,136,594,511,85,167,19,2,27,94,179,72,12,42,10,4,0.714,0.327,0.41,0.53,0.94,2,6,4,271,11,151,111.0960548885,111.4536878216,65581.9357310924,42,4.2,60,6,0.532,0.527,5.4,0.4,54
k21,"Kaline, Al",25,R,1960,DET,CF,147,629,551,77,153,29,4,15,68,145,65,3,47,19,4,0.826,0.278,0.354,0.426,0.781,5,5,3,235,18,107,83.1655844156,85.2699675325,50128.1239745628,8,0.6,27,2.5,0.506,0.505,2.8,-0.3,28
k21,"Kaline, Al",26,R,1961,DET,RF,153,665,586,116,190,41,7,19,82,198,66,2,42,14,1,0.933,0.324,0.393,0.515,0.909,4,5,4,302,16,138,118.5766871166,121.125,77682.2579849624,65,6.4,85,8.4,0.544,0.541,5.6,2.2,56
k21,"Kaline, Al",27,R,1962,DET,RF,100,452,398,78,121,16,6,29,94,172,47,3,39,4,0,1,0.304,0.376,0.593,0.969,2,4,1,236,17,152,89.0966292135,89.9271910112,37650.4115044248,31,3,44,4.4,0.532,0.52,3.7,0.3,36
k21,"Kaline, Al",28,R,1963,DET,RF,145,616,551,89,172,24,3,27,101,190,54,12,48,6,4,0.6,0.312,0.375,0.514,0.889,3,4,4,283,12,144,105.7157024793,105.0555371901,63121.450974026,34,3.6,53,5.4,0.526,0.523,5.2,-0.4,49
k21,"Kaline, Al",29,R,1964,DET,RF,146,608,525,77,154,31,5,17,68,145,75,6,51,4,1,0.8,0.293,0.383,0.469,0.851,2,3,3,246,12,134,93.89,94.316,57973.6876973684,36,3.7,54,5.6,0.527,0.525,4.1,0.9,39
k21,"Kaline, Al",30,R,1965,DET,CF,125,474,399,72,112,18,2,18,72,144,72,11,49,6,0,1,0.281,0.388,0.471,0.859,0,3,0,188,9,143,73.4437367304,74.7329087049,35675.5098734177,13,1.3,27,2.8,0.511,0.509,3.8,-1.3,36
k21,"Kaline, Al",31,R,1966,DET,CF,142,572,479,85,138,29,1,29,88,173,81,7,66,5,5,0.5,0.288,0.392,0.534,0.927,1,6,5,256,7,161,100.1142857143,98.8794642857,58626.4909090909,35,3.7,54,5.6,0.528,0.525,5.9,-0.5,54
k21,"Kaline, Al",32,R,1967,DET,RF,131,550,458,94,141,28,2,25,78,172,83,10,47,8,2,0.8,0.308,0.411,0.541,0.952,2,6,1,248,16,176,102.6839186691,103.5726432532,55318.6951272727,51,5.7,68,7.5,0.545,0.537,6.6,0.3,59
k21,"Kaline, Al",33,R,1968,DET,RF,102,389,327,49,94,14,1,10,52,101,55,7,39,6,4,0.6,0.287,0.392,0.428,0.82,1,3,3,140,4,146,54.6073298429,54.3939790576,22069.4533676093,17,2,30,3.3,0.521,0.513,3,-0.2,26
k21,"Kaline, Al",34,R,1969,DET,RF,131,518,456,74,124,17,0,21,69,143,54,4,61,1,2,0.333,0.272,0.346,0.447,0.793,0,7,1,204,11,116,71.2,70.5898039216,36065.168030888,12,1.3,30,3.1,0.511,0.508,2.8,-0.4,27
