PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
r18,"Rader, Doug",24,R,1969,HOU,3B,155,641,569,62,140,25,3,11,83,145,62,7,103,1,5,0.167,0.246,0.325,0.359,0.684,1,3,6,204,17,93,65.3058637084,63.8610935024,40893.9640561622,-6,-0.5,16,1.7,0.496,0.496,1.9,0.1,19
r18,"Rader, Doug",25,R,1970,HOU,3B,156,644,576,90,145,25,3,25,87,177,57,7,102,3,2,0.6,0.252,0.322,0.436,0.758,4,3,4,251,23,105,80.0979462875,79.8262243286,47972.2480745342,14,1.5,36,3.7,0.509,0.509,2.9,1,30
r18,"Rader, Doug",26,R,1971,HOU,3B,135,534,484,51,118,21,4,12,56,107,40,2,112,5,1,0.833,0.244,0.303,0.378,0.681,2,5,3,183,10,95,55.179389313,55.6541030534,29049.0116853933,-4,-0.4,14,1.5,0.496,0.497,1.6,0.2,16
r18,"Rader, Doug",27,R,1972,HOU,3B,152,626,553,70,131,24,7,22,90,160,57,8,120,5,5,0.5,0.237,0.309,0.425,0.734,2,9,5,235,18,109,72.4262295082,71.325,42336.8132907348,8,1.1,29,3.1,0.506,0.506,2.6,0.8,26
r18,"Rader, Doug",28,R,1973,HOU,3B,154,632,574,79,146,26,0,21,89,168,46,6,97,4,3,0.571,0.254,0.31,0.409,0.719,3,6,3,235,10,99,72.7741935484,72.3077419355,44804.7706962025,0,-0.2,20,1.8,0.5,0.5,2.3,-0.2,24
r18,"Rader, Doug",29,R,1974,HOU,3B,152,601,533,61,137,27,3,17,78,139,60,7,131,7,2,0.778,0.257,0.334,0.415,0.749,0,4,4,221,14,114,73.4182124789,73.9388701518,43626.7095174709,11,1.2,31,3,0.508,0.508,2.9,0.5,30
r18,"Rader, Doug",30,R,1975,HOU,3B,129,499,448,41,100,23,2,12,48,89,42,3,101,5,4,0.556,0.223,0.296,0.364,0.66,2,2,5,163,11,89,47.2367346939,46.6806122449,23026.0893787575,-8,-0.9,8,0.7,0.493,0.495,1.1,-0.1,13
r18,"Rader, Doug",31,R,1976,SDP,3B,139,540,471,45,121,22,4,9,55,100,55,3,102,3,4,0.429,0.257,0.335,0.378,0.712,5,6,3,178,12,110,59.5589353612,58.7448669202,31344.9134814815,16,1.8,34,3.5,0.513,0.511,2.7,1.1,27
r18,"Rader, Doug",32,R,1977,TOR,3B,148,568,483,66,121,26,5,18,67,133,71,3,105,2,2,0.5,0.251,0.348,0.437,0.785,5,5,4,211,16,116,73.1263537906,72.7418772563,40890.1709859155,2,0.2,13,1.3,0.505,0.501,1.2,0,12
r20,"Radford, Paul",21,R,1883,BSN,OF,72,267,258,46,53,6,3,0,14,60,9,,26,,,,0.205,0.232,0.252,0.484,,,,65,,45,15.0936329588,,,-25,-2.3,-16,-1.4,0.469,0.486,-1,-0.7,-13
r20,"Radford, Paul",22,R,1884,PRO,OF,97,380,355,56,70,11,2,1,29,85,25,,43,,,,0.197,0.25,0.248,0.498,,,,88,,59,22,,,-11,-1.2,2,0.1,0.489,0.493,-0.6,0.2,-7
r20,"Radford, Paul",23,R,1885,PRO,OF,105,404,371,55,90,12,5,0,32,87,33,,43,,,,0.243,0.304,0.302,0.606,,,,112,,100,34.099009901,,,-1,-0.2,13,1.3,0.499,0.499,1.2,-0.3,11
r20,"Radford, Paul",24,R,1886,KCN,OF,122,551,493,78,113,17,5,0,20,98,58,,48,39,,,0.229,0.31,0.284,0.594,,,,140,,77,43.4482758621,,,-19,-2,-1,-0.1,0.486,0.489,0.8,-1,6
r20,"Radford, Paul",25,R,1887,NYP,SS,128,598,486,127,129,15,5,4,45,172,106,,40,73,,,0.265,0.403,0.342,0.745,,,6,166,,112,65.8952702703,,,9,0.8,21,2.1,0.505,0.504,3.3,-1,39
r20,"Radford, Paul",26,R,1888,BRO,OF,90,347,308,48,67,9,3,2,29,77,35,,36,33,,,0.218,0.305,0.286,0.591,,,4,88,,90,26.1690962099,,,-1,-0.1,7,0.7,0.499,0.5,0.2,0,2
r20,"Radford, Paul",27,R,1889,CLV,OF,136,584,487,94,116,21,5,1,46,140,91,,37,30,,,0.238,0.365,0.308,0.673,,,6,150,,86,53.7197231834,,,-7,-0.8,13,1.2,0.496,0.496,0.9,-0.3,7
r20,"Radford, Paul",28,R,1890,CLE,OF,122,556,466,98,136,24,12,2,62,160,82,,28,25,,,0.292,0.406,0.408,0.814,,,8,190,,125,75.5839416058,,,22,1.7,35,3,0.513,0.51,3,-0.1,37
r20,"Radford, Paul",29,R,1891,BOS,SS,133,557,456,102,118,11,5,0,65,167,96,,36,55,,,0.259,0.393,0.305,0.698,,,5,139,,99,53.8876811594,,,38,3.2,52,4.6,0.524,0.52,3,2.3,34
r20,"Radford, Paul",30,R,1892,WHS,OF,137,599,510,93,130,19,4,1,37,130,86,,47,35,,,0.255,0.366,0.314,0.679,,,3,160,,108,57.9865771812,,,5,0.3,25,2.4,0.503,0.503,3,-0.6,30
